,index,appTitle,userName,date,score,Sentiment,Constructive,text,category,appTitle_lower,text_org,contentRating,Review Length,month
98,2693782,Amazon Music,White Noise,3-May-19,5,5,7,Amazon music has been amazing and I absolutely love it You can go wrong with an app that has everything you need and want in the same spot no more downloading 2 and 3 apps just for my music,MUSIC_AND_AUDIO,amazon music,Amazon music has been amazing and I absolutely love it. You can go wrong with an app that has everything you need and want in the same spot. no more downloading 2 and 3 apps just for my music.,Teen,189,5
99,1665231,"iHeartRadio - Free Music, Radio & Podcasts",Heriberto Francisco,14-Apr-19,5,5,2,awesomesolo necesitamos playin singers out of the stations live,MUSIC_AND_AUDIO,"iheartradio - free music, radio & podcasts",awesome...solo necesitamos playin singers out of the stations live.,Teen,63,4
100,394201,Netflix,Amanda Hawk,18-Mar-19,1,-4,7,keeps crashing on my new galaxy s10,ENTERTAINMENT,netflix,keeps crashing on my new galaxy s10,Teen,35,3
101,411151,"Hulu: Stream TV, Movies & more",,16-Mar-19,1,-4,6,people say that we want Netflix back but Hulu is better than Netflix cuz on Hulu you can download your favorite iPad games you can download a whole bunch of stuff Love by whenRenae,ENTERTAINMENT,"hulu: stream tv, movies & more",people say that we want Netflix back but Hulu is better than Netflix cuz on Hulu you can download your favorite iPad games you can download a whole bunch of stuff Love by whenRenae,Teen,180,3
102,211779,Amazon Prime Video,Logan Markou-Heppell,4-Mar-19,1,-5,7,I am confused as to why it never saves my progress in watching a tv show For example I watched a few episodes of a season and it just deleted my progress like i never watched it And the way it organizes the seasons is unnecessary just have them all in one place please,ENTERTAINMENT,amazon prime video,"I am confused as to why it never saves my progress in watching a tv show. For example, I watched a few episodes of a season, and it just deleted my progress like i never watched it. And the way it organizes the seasons is unnecessary, just have them all in one place please.",Teen,268,3
103,2446888,Netflix,Tasha Null,5-May-19,1,-4,8,Rated one star until compatibility with Chromecast is fixed it worked with Chromecast a few days ago now it wont let me cast at all clicking my profile everytime I open the app is also annoying but not as bad as not being able to Cast it FIX IT,ENTERTAINMENT,netflix,Rated one star until compatibility with Chromecast is fixed. it worked with Chromecast a few days ago now it won't let me cast at all. clicking my profile everytime I open the app is also annoying but not as bad as not being able to Cast it. FIX IT.,Teen,244,5
104,1396906,Pixel Art: Color by Number,Max The Epic Human,9-Apr-19,1,-5,4,WAY too many ads and my game would always crash,ENTERTAINMENT,pixel art: color by number,WAY too many ads and my game would always crash,Everyone,47,4
105,188560,"Hulu: Stream TV, Movies & more",Adam McNulty,28-Dec-18,2,-3,3,The interface is horrible Hard to find anything decent to watch There is tons of contentbut nothing REALLY good,ENTERTAINMENT,"hulu: stream tv, movies & more",The interface is horrible. Hard to find anything decent to watch. There is tons of content...but nothing REALLY good.,Teen,111,3
106,2112392,,A Google User,24-Feb-19,2,-2,0,i love them,ENTERTAINMENT,,i love them,,11,5
107,2089081,,Jaipaul Agonus,24-Apr-19,2,-2,6,No Chromecast support I dont use it most of the time because of that,ENTERTAINMENT,,"No Chromecast support, I dont use it most of the time because of that.",,68,5
108,2097494,,Keecia Buster,8-Apr-19,2,-3,7,It has started disconnecting making it difficult to turn off a show quickly if you need to,ENTERTAINMENT,,"It has started disconnecting, making it difficult to turn off a show quickly if you need to.",,90,5
109,2097800,,Dustin Hopkins,30-Apr-19,2,-3,3,Needs Chromecast support,ENTERTAINMENT,,Needs Chromecast support,,24,5
110,1087171,Netflix,hayley rice,4-Apr-19,3,1,4,3\4 could have more,ENTERTAINMENT,netflix,3\4 could have more,Teen,19,4
111,1390535,Netflix,Zerg Zerg,13-Apr-19,3,0,6,Needs to do better removing history,ENTERTAINMENT,netflix,Needs to do better removing history.,Teen,35,4
112,200850,Roku,Chaperel Cooper,8-Mar-19,3,0,5,the Roku remote widget sucks,ENTERTAINMENT,roku,the Roku remote widget sucks,Teen,28,3
113,2107623,,A Google User,2-Jan-19,3,-1,4,easy to color but pictures are huge and most pictures are blank no numbers,ENTERTAINMENT,,"easy to color but pictures are huge and most pictures are blank, no numbers.",,74,5
114,2090479,,carol donnelly,30-Apr-19,3,0,5,I still love Netflix except i just had an increase this past year from 799 to 1087 just got an email its going to 1299tax not sure if its worth it being i get hulu for free ,ENTERTAINMENT,,I still love Netflix except i just had an increase this past year from $7.99 to $10.87.. just got an email it's going to $12.99+tax!! not sure if it's worth it being i get hulu for free!! 😔,,173,5
115,395032,Amazon Prime Video,,16-Mar-19,4,2,6,Need more Indian movie collection Otherwise its one of the best app,ENTERTAINMENT,amazon prime video,Need more Indian movie collection. Otherwise its one of the best app,Teen,67,3
116,2092839,,Jory Walpole,25-Mar-19,4,3,6,yepitsvs good oicture shiw tv app,ENTERTAINMENT,,yepitsvs good oicture shiw tv app,,33,5
117,752260,Tubi - Free Movies & TV Shows,A Google User,31-Mar-19,4,3,4,I love it if it wasnt for the add I would give it 5 start,ENTERTAINMENT,tubi - free movies & tv shows,I love it if it wasn't for the add I would give it 5 start,Teen,57,4
118,1082899,Netflix,Alkranite w,3-Apr-19,4,3,3,being able to select to download the whole seasons of a show would be good,ENTERTAINMENT,netflix,being able to select to download the whole seasons of a show would be good,Teen,74,4
119,1403901,Tubi - Free Movies & TV Shows,Jhonny Canaan,9-Apr-19,4,2,2,I like app is the best,ENTERTAINMENT,tubi - free movies & tv shows,I like app is the best,Teen,22,4
120,411514,Amazon Prime Video,Shawn Choate,15-Mar-19,5,4,1,Great selection of movies and shows,ENTERTAINMENT,amazon prime video,Great selection of movies and shows,Teen,35,3
121,1071765,Tubi - Free Movies & TV Shows,wendy magby,1-Apr-19,5,5,2,it has great movies love it,ENTERTAINMENT,tubi - free movies & tv shows,it has great movies love it,Teen,27,4
122,1390734,Tubi - Free Movies & TV Shows,Geneva Causey,13-Apr-19,5,4,2,I really enjoy this app I am happy to see more Christian movies,ENTERTAINMENT,tubi - free movies & tv shows,I really enjoy this app. I am happy to see more Christian movies.,Teen,63,4
123,2114385,,Ernesta Jefferson,5-Apr-19,5,4,0,why cable when you can roku,ENTERTAINMENT,,why cable when you can roku,,27,5
124,1085324,Amazon Prime Video,Noreen O'Callaghan,2-Apr-19,5,4,4,i have the app on my tablet and can watch anytime anywhere i download series so i can watch them while traveling,ENTERTAINMENT,amazon prime video,i have the app on my tablet and can watch anytime. .anywhere! i download series so i can watch them while traveling.,Teen,112,4
125,2119161,,A Google User,4-Jan-19,1,-4,5,this app wont even let me download it its awful I dont recommend it,FAMILY,,"this app won't even let me download it. it's awful, I don't recommend it.",,67,5
126,759255,Tag with Ryan,A Google User,17-Mar-19,1,-4,6,App crashes as soon as it opens guess we wont be playing this game 1 star,FAMILY,tag with ryan,"App crashes as soon as it opens, guess we wont be playing this game! 1 star",Everyone,73,4
127,758530,Minion Rush: Despicable Me Official Game,A Google User,4-Mar-19,1,-5,7,i couldnt evan play it it was horrible,FAMILY,minion rush: despicable me official game,i couldn´t evan play it it was horrible,Everyone 10+,38,4
128,2136320,,Somunathan Achari,24-Mar-19,1,-4,3,I like this game but you are frist say 75 MB and you are given 1GB,FAMILY,,I like this game but you are frist say 75 MB and you are given 1GB,,66,5
129,2150431,,Spire Myre,15-Apr-19,1,-5,6,I liked the art and set up one star for this single reason it did not allow me to change my name it remained the same no matter what and would not allow me to click on it please fix thanks,FAMILY,,I liked the art and set up. one star for this single reason. it did not allow me to change my name. it remained the same no matter what and would not allow me to click on it. please fix. thanks.,,188,5
130,2144181,,Hemanth Kumar,30-Apr-19,2,-2,2,I dont like itThats all,FAMILY,,I don't like it.That's all,,23,5
131,235256,DisneyNOW – Episodes & Live TV,Sairah Haight,28-Jan-19,2,-3,7,I love the show options but its a pain to use There isnt an auto play option  the episodes arent organized I tried to start Mickey Mouse Clubhouse from the beginning for my daughter  you have to scroll through every single episode in a list If the episodes were organized into seasons that you could select rather than just having them all listed out individually that would be nice It also doesnt keep me logged in I have to log in basically every other time I open the app,FAMILY,disneynow – episodes & live tv,"I love the show options, but it's a pain to use! There isn't an auto play option, & the episodes aren't organized. I tried to start Mickey Mouse Clubhouse from the beginning for my daughter & you have to scroll through every single episode in a list. If the episodes were organized into seasons that you could select, rather than just having them all listed out individually, that would be nice. It also doesn't keep me logged in! I have to log in basically every other time I open the app.",Everyone,474,3
132,2496552,Minion Rush: Despicable Me Official Game,Melisa Sriwulandari,26-Apr-19,2,-3,8,there should not be inappropriate ads in games meant for children example last shelther survival,FAMILY,minion rush: despicable me official game,there should not be inappropriate ads in games meant for children. example: last shelther survival,Everyone 10+,96,5
133,248659,Super Bino Go - New Games 2019,,11-Mar-19,2,-3,5,Game Play And Grafics Is Good But The Ads Are Always Annoying,FAMILY,super bino go - new games 2019,Game Play And Grafics Is Good But The Ads Are Always Annoying,Everyone,61,3
134,248717,Minion Rush: Despicable Me Official Game,InuYasha96670,1-Mar-19,2,-2,6,Just downloded the game its been over a year sence i played the game so where is my game data i dont see any of the minions i had,FAMILY,minion rush: despicable me official game,"Just downloded the game its been over a year sence i played the game so where is my game data, i dont see any of the minions i had.",Everyone 10+,129,3
135,1449463,Duolingo: Learn Languages Free,Jacob Lysinger,11-Apr-19,3,0,6,5 stars if you make a setting where the Duolingo bird actually says threatening or angry morivational blurbs,FAMILY,duolingo: learn languages free,5 stars if you make a setting where the Duolingo bird actually says threatening or angry morivational blurbs.,Everyone,108,4
136,238432,Minion Rush: Despicable Me Official Game,,3-Feb-19,3,1,7,always updatingtaking too much space,FAMILY,minion rush: despicable me official game,always updating...taking too much space,Everyone 10+,36,3
137,2484235,Minion Rush: Despicable Me Official Game,Jasmine Nicholson,30-Apr-19,3,1,2,It is not Downloading and Dragon Mania Legends is better,FAMILY,minion rush: despicable me official game,It is not. Downloading and Dragon Mania Legends is better,Everyone 10+,56,5
138,1451085,Roblox,StrawsNBerrys,14-Apr-19,3,-1,5,I bought this doge shirt for 5 robux and it dosent apprear on my roblox avatar Please fix this bug,FAMILY,roblox,I bought this doge shirt for 5 robux and it dosent apprear on my roblox avatar. Please fix this bug.,Everyone 10+,98,4
139,1099976,Roblox,Jasmine Baker,7-Apr-19,3,1,1,it is a okay game,FAMILY,roblox,it is a okay game,Everyone 10+,17,4
140,2478579,Minion Rush: Despicable Me Official Game,Anam Rizvi,1-May-19,4,2,5,I hv been playing it since long time but it take very long time to connect with gameloft server,FAMILY,minion rush: despicable me official game,I hv been playing it since long time but it take very long time to connect with gameloft server,Everyone 10+,95,5
141,1129520,Duolingo: Learn Languages Free,Mousumi Monsura,2-Apr-19,4,2,7,Its a nice app helping me to learn a languageBut still it doesnt explain the grammar of the languageI think duolingo should work on this,FAMILY,duolingo: learn languages free,Its a nice app helping me to learn a language.But still it doesn't explain the grammar of the language.I think duolingo should work on this.,Everyone,136,4
142,2136630,,Nathan Epperson,20-Apr-19,4,3,8,got this game for my daughter which she loves would be 5 stars but there seems to be a bug with it which the sound still plays on my phone even when the game is closed i have to restart the phone for the sound to stop playing for this game,FAMILY,,got this game for my daughter which she loves would be 5 stars but there seems to be a bug with it which the sound still plays on my phone even when the game is closed i have to restart the phone for the sound to stop playing for this game,,239,5
143,1463614,Roblox,Gurman Saran,14-Apr-19,4,3,3,one of the best games ever made had so much fun,FAMILY,roblox,one of the best games ever made had so much fun,Everyone 10+,47,4
144,1103987,Duolingo: Learn Languages Free,David McKeown,6-Apr-19,4,2,2,Easy to practice when I have a few free minutes,FAMILY,duolingo: learn languages free,Easy to practice when I have a few free minutes,Everyone,47,4
145,1811483,DisneyNOW – Episodes & Live TV,Ashlee Ysla,15-Apr-19,5,4,1,i love it,FAMILY,disneynow – episodes & live tv,i love it,Everyone,9,4
146,2144161,,Shelby Pierson,26-Apr-19,5,4,0,Please dont murder my familyI didnt mean to break my streak,FAMILY,,Please don't murder my family....I didn't mean to break my streak....,,59,5
147,1127070,Roblox,Joanna Herrera,6-Apr-19,5,5,0,I like it its fun,FAMILY,roblox,I like it its fun,Everyone 10+,17,4
148,780520,Roblox,candace goodwin,1-Apr-19,5,5,0,hhgdtjhejxurhfudujturuur has a long day history in which he has plant 6and in his own country to be part time and the bottlemen is the best in his bed and the night before and after the first time he has a new person to do what I have done to the movies he said she said no matter how I feel bad that I said Im not going again to the movies I think it is its only one who is hanging on to it but I still stuck it out or something haha but I dont want it all ended with the owner,FAMILY,roblox,hh*&hhhhhhhhhhhhhhhhgdtjhejxurhfudujturuur has a long day history in which he has plant 6and in his own country to be part time and the bottlemen is the best in his bed and the night before and after the first time he has a new person to do what I have done to the movies he said she said no matter how I feel bad that I said I'm not going again to the movies I think it is its only one who is hanging on to it but I still stuck it out or something haha but I don't want it all ended with the owner,Everyone 10+,478,4
149,2473772,Roblox,Alejandra Moon,8-May-19,5,4,2,just so good,FAMILY,roblox,just so good,Everyone 10+,12,5
150,1275178,Fantastic Face – Daily face & Beauty Competition,Anjelah B,25-Mar-19,1,-5,2,you have to to pay,LIFESTYLE,fantastic face – daily face & beauty competition,you have to to pay?,Everyone,18,4
151,2297181,,A Google User,19-Feb-19,1,-4,2,its horrible  because you wont let me do it for what your MEAN to ME Why did you create this why just why JUST WHY ,LIFESTYLE,,its horrible 😭😭😭 because you won't let me do it for what.... your MEAN to ME!!!! Why did you create this why just why😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 JUST WHY 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,,115,5
152,258744,SmartThings,Dave Ericksen,23-Feb-19,1,-4,7,All devices were removed with new app except my Ring doorbell All automatons still work thru Alexa for now bit this app was definitely not tested very well before delivery,LIFESTYLE,smartthings,All devices were removed with new app except my Ring doorbell. All automatons still work thru Alexa for now bit this app was definitely not tested very well before delivery!,Everyone,171,3
153,253887,Fantastic Face – Face Analysis & Aging Prediction,Dylan Cowan,24-Jan-19,1,-4,8,it sucks becus u half to give a photo and pay,LIFESTYLE,fantastic face – face analysis & aging prediction,it sucks becus u half to give a photo and pay💩💰💵💸📉,Everyone,45,3
154,285237,Fantastic Face – Face Analysis & Aging Prediction,Nope Nooo,24-Feb-19,1,-5,0,if your thinking about installing this just dont its not worth it,LIFESTYLE,fantastic face – face analysis & aging prediction,if your thinking about installing this just don't it's not worth it,Everyone,65,3
155,943456,The PCH App,very hungrywolf,30-Mar-19,2,-2,9,too many ads and infomercials and i never win money just tokens ive been playing for almost 2 years and havent won a penny just tokens sometimes not even that many tokens i keep getting the little 1000  25000 tokens not enough of the 50000  100000 tokens there should be scratchers where i get 1000000  2000000 tokens i became a vip elite and it still wont give me any money,LIFESTYLE,the pch app,"too many ads and infomercials and i never win money just tokens ive been playing for almost 2 years and haven't won a penny just tokens sometimes not even that many tokens i keep getting the little 1,000 - 25,000 tokens not enough of the 50,000 - 100,000 tokens there should be scratchers where i get 1,000,000 - 2,000,000 tokens i became a vip elite and it still won't give me any money",Everyone,374,4
156,2294505,,Amani Morgan,25-Apr-19,2,-3,3,my mom tracks me everywhere i go now thanks alot,LIFESTYLE,,my mom tracks me everywhere i go now. thanks alot😡,,48,5
157,951093,Google Home,A Google User,12-Feb-19,2,-2,2,i not know why this google home is so but maybe later as i learn how to use etc,LIFESTYLE,google home,i not know why this google home is so??? but maybe later as i learn how to use etc,Everyone,79,4
158,2324073,,AwsomeFox 6278,15-Mar-19,2,-3,3,This app was not as good and I think it could get rid of the payment thing CAN YOU BELIVE YOU HAVE TO PAY 7999 A YEAR JUST TO SEE HOW U WILL LOOK WHEN UR OLDER What a rip off I bet my family can predict better than this app FOR FREE But there are some free things u can do but NOT fun ,LIFESTYLE,,This app was not as good and I think it could get rid of the payment thing. CAN YOU BELIVE YOU HAVE TO PAY 79.99 A YEAR JUST TO SEE HOW U WILL LOOK WHEN UR OLDER. What a rip off. I bet my family can predict better than this app. FOR FREE. But there are some free things u can do but NOT fun. 😡👿😾👺💩👎,,285,5
159,252032,Tinder,Ashish Dilawar,13-Mar-19,2,-3,3,i paid for the the gold option and lost money but never got subscribed,LIFESTYLE,tinder,i paid for the the gold option and lost money but never got subscribed!,Mature 17+,70,3
160,957545,Google Home,Kurai Kurayami,29-Mar-19,3,1,7,works fine but the only thing is that Im trying to change the language and it keeps crashing on me therefore I cant change my Google home language,LIFESTYLE,google home,works fine but the only thing is that I'm trying to change the language and it keeps crashing on me therefore I can't change my Google home language,Everyone,146,4
161,2315900,,Ara Blr,22-Apr-19,3,-1,4,I was having problems casting my videos to television through chromecast Now its better,LIFESTYLE,,I was having problems casting my videos to television through chromecast. Now it's better,,87,5
162,1624353,The PCH App,kathleen erickson,11-Apr-19,3,-1,6,Too much push to buy more stuffI already bought 4 great itemsI wont purchase anything more but will continue to participatedont push more things on me or Ill forget the whole thing,LIFESTYLE,the pch app,Too much push to buy more stuff...I already bought 4 great items...I won't purchase anything more but will continue to participate...don't push more things on me or I'll forget the whole thing!!!,Everyone,180,4
163,284856,Google Home,Tyler Kapteyn,15-Feb-19,3,1,7,When using the mirror option it frequently stutters quite often it doesnt make it terrible but noticeable,LIFESTYLE,google home,When using the mirror option it frequently stutters quite often. it doesn't make it terrible but noticeable,Everyone,105,3
164,1967209,Tinder,Steve,14-Apr-19,3,-1,4,WhoopsLast Update Broke It Worked till current update as of 14 April Now just gives pogo stickingzoom inzoom out Tinder icon,LIFESTYLE,tinder,Whoops...Last Update Broke It! Worked till current update (as of 14 April). Now just gives pogo sticking/zoom in-zoom out Tinder icon.,Mature 17+,124,4
165,271662,Fantastic Face – Face Analysis & Aging Prediction,Jillian McBride,19-Jan-19,4,3,2,thos game is fun but some more stuff needs to be free any ways i love this game,LIFESTYLE,fantastic face – face analysis & aging prediction,thos game is fun but some more stuff needs to be free any ways i love this game!!!!!!,Everyone,79,3
166,272794,Family Locator - GPS Tracker,elif aykas,13-Mar-19,4,2,1,Very useful for us as a family,LIFESTYLE,family locator - gps tracker,Very useful for us as a family.,Everyone,30,3
167,2315542,,Adam Voegtli,24-Apr-19,4,3,7,stay honest and dont play on others this is a good app you can find hookups and girlfriends from my experience just keep swiping and communicate,LIFESTYLE,,stay honest and don't play on others. this is a good app. you can find hook-ups and girlfriends from my experience. just keep swiping and communicate,,144,5
168,1275878,SmartThings,Poulus Khozam,5-Apr-19,4,2,7,if it could open the tv and if it could display the menu and works over internet to control my home at work,LIFESTYLE,smartthings,if it could open the tv and if it could display the menu and works over internet to control my home at work,Everyone,107,4
169,1610466,Tinder,nick mullins,11-Apr-19,4,2,1,very good app,LIFESTYLE,tinder,very good app,Mature 17+,13,4
170,608311,"Notepad - Notes with Reminder, ToDo, Sticky notes",Angel Otero,18-Mar-19,5,5,3,easy to use,LIFESTYLE,"notepad - notes with reminder, todo, sticky notes",🤔easy to use!☺,Everyone,11,3
171,615880,Tinder,Amelene Petralba,16-Mar-19,5,4,3,I super thank this application Because i finally found my Husband 2 years ago when i downloaded this app It is because i was so bored and just wanted to know someone I never thought he was just here also For my routine in Tinder for almost six months during that time He was the one who had the courage to ask me for a date Weve been dating and chatting for 2months and finally said a yes to him after 1month of our being together He went to my house and got introduced to my family be cont,LIFESTYLE,tinder,I super thank this application. Because i finally found my Husband. 2 years ago when i downloaded this app. It is because i was so bored and just wanted to know someone. I never thought he was just here also. For my routine in Tinder for almost six months during that time. He was the one who had the courage to ask me for a date. We've been dating and chatting for 2months and finally said a yes to him after 1month of our being together. He went to my house and got introduced to my family. be cont.,Mature 17+,490,3
172,940605,Unicorn Slime Maker and Simulator,A Google User,17-Jan-19,5,5,1,this unicorn slime is so pretty,LIFESTYLE,unicorn slime maker and simulator,this unicorn slime is so pretty,Teen,31,4
173,268473,SmartThings,Rodney Rodriguez,24-Feb-19,5,5,0,I love it,LIFESTYLE,smartthings,I love it.,Everyone,9,3
174,257680,SmartThings,doctor strange,26-Feb-19,5,4,2,well it help full I did helpme alot,LIFESTYLE,smartthings,well it help full I did help.me alot,Everyone,35,3
175,303534,Sweatcoin Pays You To Get Fit,,11-Jan-19,1,-4,7,this app is a joke it says it pays you for walking It pays in sweatcoin that you use towards useless items Like right now they want you to pay 999 in sweatcoin for 5 with an app called Cleo You can sign up for Cleo for FREE and get the 5 when you add a bank Its the same deal but with sweatcoin you have to pay then theres another deal right now where they want you to pay 179 in sweatcoin for a pair of shoe laces that retail for 999 Never anything worth it,HEALTH_AND_FITNESS,sweatcoin pays you to get fit,"this app is a joke, it says it ""pays"" you for walking. It pays in sweatcoin that you use towards useless items. Like right now they want you to pay $9.99 (in sweatcoin) for $5 with an app called Cleo. You can sign up for Cleo for FREE and get the $5 when you add a bank. It's the same deal but with sweatcoin you have to pay... then there's another ""deal"" right now where they want you to pay $179 (in sweatcoin) for a pair of shoe laces that retail for $9.99. Never anything worth it.",Everyone,458,3
176,1580235,Fitbit,steve laport,9-Apr-19,1,-4,8,The app was fine but now the Zip will not sync Seems to be a ongoing issue after the update,HEALTH_AND_FITNESS,fitbit,The app was fine but now the Zip will not sync. Seems to be a ongoing issue after the update.,Everyone,91,4
177,2600461,Sweatcoin Pays You To Get Fit,Cristian Reyes,24-Apr-19,1,-4,3,Seems to only work for iPhone,HEALTH_AND_FITNESS,sweatcoin pays you to get fit,Seems to only work for iPhone.,Everyone,29,5
178,296214,"Calm - Meditate, Sleep, Relax",Jess H,24-Jan-19,1,-4,8,Really loved this app until you decided to take everything away and turn it premium only I understand you have to make money Thats why I didnt begrudge little ads on my screen or that some of the features maybe half of the songs were a premium only feature But to go and change the conditions under which I downloaded the app to lock all but 2 songs when previously there was a decent amount for free is lame It was an instant uninstall for me,HEALTH_AND_FITNESS,"calm - meditate, sleep, relax","Really loved this app, until you decided to take everything away and turn it premium only. I understand you have to make money. Thats why I didn't begrudge little ads on my screen, or that some of the features (maybe half of the songs) were a premium only feature. But to go and change the conditions under which I downloaded the app, to lock all but 2 songs when previously there was a decent amount for free, is lame. It was an instant uninstall for me.",Everyone,443,3
179,2621075,Fitbit,iain dundas,6-May-19,1,-4,3,awful took to long to set up and still cannot get benefit from it after 4 months,HEALTH_AND_FITNESS,fitbit,àawful took to long to set up and still cannot get benefit from it after 4 months,Everyone,80,5
180,301597,Headspace: Meditation & Sleep,,25-Feb-19,2,-2,2,Relentless marketing dont like their hard sell and theres a better app which doesnt do this,HEALTH_AND_FITNESS,headspace: meditation & sleep,"Relentless marketing, don't like their hard sell and there's a better app which doesn't do this",Everyone,91,3
181,569861,Calorie Counter - MyFitnessPal,BoltRandomness,19-Mar-19,2,-3,2,an update on my rating the app is getting worse first I was unable to search offline and now I am unable to change my goal settings im starting to get confused to the reason why you guys keep updating your app,HEALTH_AND_FITNESS,calorie counter - myfitnesspal,"an update on my rating, the app is getting worse, first I was unable to search offline, and now I am unable to change my goal settings, i'm starting to get confused to the reason why you guys keep updating your app",Everyone,209,3
182,2267222,,M Chrobocinski,25-Apr-19,2,-2,10,Further update issue returned UPDATE The Fitbit team came through Every time I sent an email regarding the issue below the responded immediately and was as helpful as they could be Today they responded with the fix my Zip is now syncing Bravo Fitbit Team This WAS the issue but no longer My Samsung S8 received an update from TMobile on April 3rd Since then I havent been able to sync my Zip with my Fitbit app nor does the app connect to my LoseIt app I was hoping this was the fix,HEALTH_AND_FITNESS,,"Further update: issue returned! UPDATE: The Fitbit team came through! Every time I sent an email regarding the issue below, the responded immediately and was as helpful as they could be. Today they responded with the fix. my Zip is now syncing. Bravo Fitbit Team! This WAS the issue, but no longer: My Samsung S8 received an update from T-Mobile on April 3rd. Since then I haven't been able to sync my Zip with my Fitbit app nor does the app connect to my LoseIt app. I was hoping this was the fix.",,482,5
183,302001,Samsung Health,Shalender Bhargava,22-Feb-19,2,-3,7,HiI am facing problem in calories burn function in s healthit overnight burn calories when my phone is switched off and I am using gear s3 watch also in the morning it also shows around 800 calories burnet overnightplease help,HEALTH_AND_FITNESS,samsung health,Hi..I am facing problem in calories burn function in s health...it overnight burn calories when my phone is switched off ...and I am using gear s3 watch also in the morning it also shows around 800 calories burnet overnight...please help.,Everyone,226,3
184,305934,Lose It! - Calorie Counter,Dave Allred,8-Feb-19,2,-2,5,frustrating it takes longer to take a picture of breakfast then to make breakfast because i get 3 full screen upgrade ads when the app opens once a week a full screen add with an always there bottom banner would be more professional,HEALTH_AND_FITNESS,lose it! - calorie counter,"frustrating! it takes longer to take a picture of breakfast then to make breakfast... because i get 3 full screen ""upgrade"" ads when the app opens. once a week a full screen add with an always there bottom banner would be more professional.",Everyone,232,3
185,2277752,,Dana Confer,23-Apr-19,3,1,4,sometimes cant see what Ive done the last two weeks 8,HEALTH_AND_FITNESS,,sometimes can't see what I've done the last two weeks 8,,53,5
186,907070,Samsung Health,Tara Novak,29-Mar-19,3,1,3,fun to compare your self with some friends and people from around the world,HEALTH_AND_FITNESS,samsung health,fun to compare your self with some friends and people from around the world.,Everyone,75,4
187,2284183,,Jaz,21-Feb-19,3,1,4,first time using it  its ok so far But not feeling the language choices  its a bit racist smh Needs to be changed,HEALTH_AND_FITNESS,,"first time using it , it's ok so far But not feeling the language choices 😠 it's a bit racist smh Needs to be changed!",,113,5
188,1236669,Sweatcoin Pays You To Get Fit,Jamie Infante,5-Apr-19,3,0,10,So far its a good app but it does stop a lot and wont count a lot of steps Im just using this to see really how many steps a stay at home mom can get in 1 day would like to be able to use my coins for something else things in the store are a bit high priced but Im not here to buy stuff  I have a few friends that have also downloaded this app but it never shows that I have invited them and they cant find me  other than that the app is kool,HEALTH_AND_FITNESS,sweatcoin pays you to get fit,So far it's a good app.. but it does stop a lot and won't count a lot of steps.. I'm just using this to see really how many steps a stay at home mom can get in 1 day.. would like to be able to use my coins for something else things in the store are a bit high priced but I'm not here to buy stuff ... I have a few friends that have also downloaded this app but it never shows that I have invited them and they can't find me ... other than that the app is kool..,Everyone,442,4
189,316772,Headspace: Meditation & Sleep,Linda Heitman,5-Nov-18,3,0,9,The sleep portion of the app is fantastic but I have no desire to use any other features So its a bit expensive for the price My music streaming app is much less per month and I use it much more than this Not site how long Ill continue paying for just the sleep pack That part works amazingly though Puts me to slee every time,HEALTH_AND_FITNESS,headspace: meditation & sleep,"The sleep portion of the app is fantastic but, I have no desire to use any other features. So it's a bit expensive for the price. My music streaming app is much less per month and I use it much more than this. Not site how long I'll continue paying for just the sleep pack.... That part works amazingly though. Puts me to slee every time!",Everyone,326,3
190,1587119,CVS/pharmacy,Bill D,10-Apr-19,4,3,4,A little difficult at first  but by the second time it was easy,HEALTH_AND_FITNESS,cvs/pharmacy,"A little difficult at first , but by the second time, it was easy.",Everyone,63,4
191,300303,Sweatcoin Pays You To Get Fit,,2-Feb-19,4,3,6,very fun way to make money,HEALTH_AND_FITNESS,sweatcoin pays you to get fit,very fun way to make money,Everyone,26,3
192,1916829,Drink Water Reminder: Water Tracker & Alarm,Abdul Hamid Mohammed,19-Apr-19,4,2,1,helphul great job guys,HEALTH_AND_FITNESS,drink water reminder: water tracker & alarm,helphul.. great job guys.,Everyone,22,4
193,903414,Calorie Counter - MyFitnessPal,A Google User,27-Mar-19,4,2,6,I like this app Its better than noom which is not free The food database is pretty extensive I really like that it syncs with Map My Walk to add your burned calories into your budget,HEALTH_AND_FITNESS,calorie counter - myfitnesspal,"I like this app. It's better than noom, which is not free. The food database is pretty extensive. I really like that it syncs with Map My Walk to add your burned calories into your budget.",Everyone,182,4
194,312695,Calorie Counter - MyFitnessPal,,8-Mar-19,4,3,2,great for keeping an eye on your calories and making sure you get a good balance of nutrition,HEALTH_AND_FITNESS,calorie counter - myfitnesspal,great for keeping an eye on your calories and making sure you get a good balance of nutrition,Everyone,93,3
195,2287505,,Connor Johnson,13-Apr-19,5,5,6,Simple effective everything you need for calorie counting,HEALTH_AND_FITNESS,,"Simple, effective. everything you need for calorie counting.",,57,5
